Plot Title: Riihiluoma 1,,,,
index,time,new_fridge,water_heater,old_fridge
1,02/10/2021 03:45:38 PM,0.098,1.050,1.050
2,02/10/2021 03:46:38 PM,0.122,1.368,0.977
3,02/10/2021 03:47:38 PM,1.099,1.368,0.049
4,02/10/2021 03:48:38 PM,1.123,0.537,0.049
5,02/10/2021 03:49:38 PM,1.148,0.122,0.195
6,02/10/2021 03:50:38 PM,1.123,0.073,0.195
7,02/10/2021 03:51:38 PM,1.148,0.220,0.195
8,02/10/2021 03:52:38 PM,1.245,0.317,0.269
9,02/10/2021 03:53:38 PM,1.245,0.195,0.098
10,02/10/2021 03:54:38 PM,1.197,0.195,0.098
11,02/10/2021 03:55:38 PM,1.197,0.195,0.098
12,02/10/2021 03:56:38 PM,1.172,0.171,1.148
13,02/10/2021 03:57:38 PM,1.148,0.195,0.098
14,02/10/2021 03:58:38 PM,1.148,0.195,0.073
15,02/10/2021 03:59:38 PM,1.123,0.195,0.098
16,02/10/2021 04:00:38 PM,1.123,0.195,0.073
17,02/10/2021 04:01:38 PM,1.123,0.195,0.073
18,02/10/2021 04:02:38 PM,1.099,0.195,0.073
19,02/10/2021 04:03:38 PM,1.099,0.195,0.073
20,02/10/2021 04:04:38 PM,1.099,0.122,0.147
21,02/10/2021 04:05:38 PM,1.099,0.147,0.171
22,02/10/2021 04:06:38 PM,1.172,0.122,0.171
23,02/10/2021 04:07:38 PM,1.172,0.122,0.171
24,02/10/2021 04:08:38 PM,1.221,0.122,0.195
25,02/10/2021 04:09:38 PM,1.148,0.122,0.147
26,02/10/2021 04:10:38 PM,1.245,0.122,0.171
27,02/10/2021 04:11:38 PM,1.490,0.122,1.148
28,02/10/2021 04:12:38 PM,1.197,0.122,0.195
29,02/10/2021 04:13:38 PM,1.294,0.122,0.147
30,02/10/2021 04:14:38 PM,1.294,0.098,0.147
31,02/10/2021 04:15:38 PM,1.319,0.122,0.171
32,02/10/2021 04:16:38 PM,1.294,0.098,0.147
33,02/10/2021 04:17:38 PM,1.319,0.098,0.147
34,02/10/2021 04:18:38 PM,1.294,0.098,0.147
35,02/10/2021 04:19:38 PM,1.294,0.098,0.147
36,02/10/2021 04:20:38 PM,1.319,0.098,0.171
37,02/10/2021 04:21:38 PM,1.319,0.098,0.147
38,02/10/2021 04:22:38 PM,1.319,0.098,0.147
39,02/10/2021 04:23:38 PM,1.343,0.098,0.171
40,02/10/2021 04:24:38 PM,1.319,0.098,0.171
41,02/10/2021 04:25:38 PM,1.319,0.122,0.171
42,02/10/2021 04:26:38 PM,1.319,0.122,0.171
43,02/10/2021 04:27:38 PM,1.319,0.098,0.147
44,02/10/2021 04:28:38 PM,1.319,0.098,0.147
45,02/10/2021 04:29:38 PM,1.294,0.122,0.147
46,02/10/2021 04:30:38 PM,1.319,0.098,0.147
47,02/10/2021 04:31:38 PM,1.319,0.098,0.171
48,02/10/2021 04:32:38 PM,1.319,0.122,0.147
49,02/10/2021 04:33:38 PM,1.319,0.098,0.147
50,02/10/2021 04:34:38 PM,1.319,0.098,0.171
51,02/10/2021 04:35:38 PM,1.319,0.122,0.171
52,02/10/2021 04:36:38 PM,1.294,0.098,0.830
53,02/10/2021 04:37:38 PM,1.245,0.098,0.733
54,02/10/2021 04:38:38 PM,1.319,0.098,0.708
55,02/10/2021 04:39:38 PM,1.319,0.098,0.708
56,02/10/2021 04:40:38 PM,1.245,0.098,0.708
57,02/10/2021 04:41:38 PM,1.538,0.098,0.708
58,02/10/2021 04:42:38 PM,1.294,0.098,0.708
59,02/10/2021 04:43:38 PM,1.319,0.098,0.708
60,02/10/2021 04:44:38 PM,1.319,0.098,0.708
61,02/10/2021 04:45:38 PM,1.319,0.098,0.708
62,02/10/2021 04:46:38 PM,1.294,0.098,0.708
63,02/10/2021 04:47:38 PM,1.294,0.098,0.708
64,02/10/2021 04:48:38 PM,1.294,0.098,0.708
65,02/10/2021 04:49:38 PM,1.294,0.098,0.708
66,02/10/2021 04:50:38 PM,1.245,0.098,0.708
67,02/10/2021 04:51:38 PM,1.197,0.098,0.708
68,02/10/2021 04:52:38 PM,1.172,0.098,0.684
69,02/10/2021 04:53:38 PM,1.172,0.098,0.708
70,02/10/2021 04:54:38 PM,1.148,0.098,0.708
71,02/10/2021 04:55:38 PM,1.148,0.098,0.708
72,02/10/2021 04:56:38 PM,1.148,0.098,0.684
73,02/10/2021 04:57:38 PM,1.123,0.098,0.708
74,02/10/2021 04:58:38 PM,1.123,0.098,0.684
75,02/10/2021 04:59:38 PM,1.123,0.098,0.708
76,02/10/2021 05:00:38 PM,1.099,0.098,0.708
77,02/10/2021 05:01:38 PM,1.099,0.098,0.708
78,02/10/2021 05:02:38 PM,1.123,0.098,0.708
79,02/10/2021 05:03:38 PM,1.099,0.098,0.708
80,02/10/2021 05:04:38 PM,1.099,0.098,0.708
81,02/10/2021 05:05:38 PM,1.123,0.098,0.684
82,02/10/2021 05:06:38 PM,1.099,0.098,0.708
83,02/10/2021 05:07:38 PM,1.099,0.098,0.684
84,02/10/2021 05:08:38 PM,1.099,0.098,0.684
85,02/10/2021 05:09:38 PM,1.099,0.098,0.684
86,02/10/2021 05:10:38 PM,1.099,0.098,0.684
87,02/10/2021 05:11:38 PM,1.319,0.098,0.684
88,02/10/2021 05:12:38 PM,1.099,0.098,0.684
89,02/10/2021 05:13:38 PM,1.099,0.098,0.684
90,02/10/2021 05:14:38 PM,1.099,0.098,0.684
91,02/10/2021 05:15:38 PM,1.074,0.098,0.708
92,02/10/2021 05:16:38 PM,1.099,0.098,0.684
93,02/10/2021 05:17:38 PM,1.074,0.098,0.684
94,02/10/2021 05:18:38 PM,1.074,0.098,0.708
95,02/10/2021 05:19:38 PM,1.074,18.339,0.757
96,02/10/2021 05:20:38 PM,1.074,18.315,0.757
97,02/10/2021 05:21:38 PM,1.074,18.315,0.757
98,02/10/2021 05:22:38 PM,1.074,18.339,0.757
99,02/10/2021 05:23:38 PM,1.172,18.291,0.757
100,02/10/2021 05:24:38 PM,1.197,18.315,0.757
101,02/10/2021 05:25:38 PM,1.197,18.291,0.757
102,02/10/2021 05:26:38 PM,1.197,18.291,0.757
103,02/10/2021 05:27:38 PM,1.197,18.315,0.757
104,02/10/2021 05:28:38 PM,1.221,18.242,0.757
105,02/10/2021 05:29:38 PM,1.197,18.339,0.757
106,02/10/2021 05:30:38 PM,1.197,18.291,0.757
107,02/10/2021 05:31:38 PM,1.123,18.242,0.757
108,02/10/2021 05:32:38 PM,1.221,18.242,0.757
109,02/10/2021 05:33:38 PM,1.245,18.242,1.929
110,02/10/2021 05:34:38 PM,1.245,0.098,0.684
111,02/10/2021 05:35:38 PM,1.245,0.098,0.684
112,02/10/2021 05:36:38 PM,1.245,0.098,0.684
113,02/10/2021 05:37:38 PM,1.245,0.098,0.684
114,02/10/2021 05:38:38 PM,1.148,0.098,0.684
115,02/10/2021 05:39:38 PM,1.245,0.098,0.684
116,02/10/2021 05:40:38 PM,1.172,0.098,0.684
117,02/10/2021 05:41:38 PM,1.392,0.098,0.684
118,02/10/2021 05:42:38 PM,1.270,0.098,0.684
119,02/10/2021 05:43:38 PM,1.270,0.098,0.684
120,02/10/2021 05:44:38 PM,1.245,0.098,0.684
121,02/10/2021 05:45:38 PM,1.270,0.098,0.684
122,02/10/2021 05:46:38 PM,1.245,0.098,0.684
123,02/10/2021 05:47:38 PM,1.245,0.073,0.684
124,02/10/2021 05:48:38 PM,1.245,0.073,0.684
125,02/10/2021 05:49:38 PM,1.245,0.098,0.684
126,02/10/2021 05:50:38 PM,1.245,0.098,0.684
127,02/10/2021 05:51:38 PM,1.245,0.098,0.708
128,02/10/2021 05:52:38 PM,1.245,0.073,0.684
129,02/10/2021 05:53:38 PM,1.221,0.073,0.684
130,02/10/2021 05:54:38 PM,1.245,0.073,0.684
131,02/10/2021 05:55:38 PM,1.245,0.098,0.684
132,02/10/2021 05:56:38 PM,1.197,0.073,0.684
133,02/10/2021 05:57:38 PM,1.172,0.073,0.684
134,02/10/2021 05:58:38 PM,1.148,0.073,0.659
135,02/10/2021 05:59:38 PM,1.123,0.098,0.684
136,02/10/2021 06:00:38 PM,1.123,0.098,0.684
137,02/10/2021 06:01:38 PM,1.099,0.098,0.684
138,02/10/2021 06:02:38 PM,1.099,0.073,0.659
139,02/10/2021 06:03:38 PM,1.099,0.098,0.684
140,02/10/2021 06:04:38 PM,1.074,0.098,0.684
141,02/10/2021 06:05:38 PM,1.074,0.098,0.684
142,02/10/2021 06:06:38 PM,1.074,0.073,0.659
143,02/10/2021 06:07:38 PM,1.099,0.073,0.684
144,02/10/2021 06:08:38 PM,1.074,0.073,0.684
145,02/10/2021 06:09:38 PM,1.074,0.098,0.684
146,02/10/2021 06:10:38 PM,1.050,0.073,0.684
147,02/10/2021 06:11:38 PM,1.294,0.073,0.684
148,02/10/2021 06:12:38 PM,1.074,0.073,0.684
149,02/10/2021 06:13:38 PM,1.050,0.073,0.659
150,02/10/2021 06:14:38 PM,1.074,0.073,0.659
151,02/10/2021 06:15:38 PM,1.074,0.073,0.659
152,02/10/2021 06:16:38 PM,1.074,0.073,0.659
153,02/10/2021 06:17:38 PM,1.074,0.073,0.684
154,02/10/2021 06:18:38 PM,1.074,0.073,0.659
155,02/10/2021 06:19:38 PM,1.074,0.073,0.684
156,02/10/2021 06:20:38 PM,0.977,0.098,0.684
157,02/10/2021 06:21:38 PM,1.050,0.073,0.684
158,02/10/2021 06:22:38 PM,1.074,0.073,0.684
159,02/10/2021 06:23:38 PM,1.050,0.073,0.684
160,02/10/2021 06:24:38 PM,1.050,0.073,0.684
161,02/10/2021 06:25:38 PM,1.050,0.073,0.659
