time,well_pump,new_fridge,water_heater,old_fridge
02/11/2021 12:54:36 PM,0.037,0.501,0.147,0.684
02/11/2021 12:55:36 PM,0.037,0.501,0.122,0.684
02/11/2021 12:56:36 PM,0.037,0.501,0.147,0.684
02/11/2021 12:57:36 PM,0.073,0.501,0.098,0.684
02/11/2021 12:58:36 PM,0.049,0.501,0.122,0.684
02/11/2021 12:59:36 PM,0.061,0.501,0.098,0.684
02/11/2021 01:00:36 PM,0.061,0.501,0.098,0.684
02/11/2021 01:01:36 PM,0.061,0.549,0.098,0.684
02/11/2021 01:02:36 PM,0.049,0.476,0.122,0.684
02/11/2021 01:03:36 PM,0.049,0.513,0.122,0.684
02/11/2021 01:04:36 PM,0.061,0.476,0.122,0.684
02/11/2021 01:05:36 PM,0.049,0.513,0.122,0.684
02/11/2021 01:06:36 PM,0.049,0.513,0.098,0.684
02/11/2021 01:07:36 PM,0.049,0.549,0.122,0.684
02/11/2021 01:08:36 PM,0.049,0.488,0.098,0.684
02/11/2021 01:09:36 PM,0.049,0.525,0.122,0.684
02/11/2021 01:10:36 PM,0.061,0.525,0.122,0.684
02/11/2021 01:11:36 PM,0.049,0.525,0.122,0.684
02/11/2021 01:12:36 PM,0.061,0.525,0.098,0.684
02/11/2021 01:13:36 PM,0.061,5.287,0.122,0.684
02/11/2021 01:14:36 PM,0.061,5.177,0.122,0.684
02/11/2021 01:15:36 PM,0.061,5.165,0.122,0.684
02/11/2021 01:16:36 PM,0.061,5.165,0.122,0.659
02/11/2021 01:17:36 PM,0.061,5.177,0.122,0.684
02/11/2021 01:18:36 PM,0.061,5.165,0.122,0.684
02/11/2021 01:19:36 PM,0.061,5.153,0.122,0.684
02/11/2021 01:20:36 PM,0.061,5.140,0.147,0.684
02/11/2021 01:21:36 PM,0.061,5.116,0.122,0.684
02/11/2021 01:22:36 PM,0.061,5.128,0.122,0.684
02/11/2021 01:23:36 PM,0.049,5.165,0.122,0.684
02/11/2021 01:24:36 PM,0.049,5.226,0.122,0.684
02/11/2021 01:25:36 PM,0.061,5.128,0.122,0.684
02/11/2021 01:26:36 PM,0.049,5.153,0.122,0.684
02/11/2021 01:27:36 PM,0.061,5.165,0.122,0.659
02/11/2021 01:28:36 PM,0.061,5.153,0.122,0.684
02/11/2021 01:29:36 PM,0.061,5.153,0.122,0.684
02/11/2021 01:30:36 PM,0.061,5.140,0.122,0.684
02/11/2021 01:31:36 PM,0.049,5.092,0.122,0.684
02/11/2021 01:32:36 PM,0.061,5.153,0.122,0.684
02/11/2021 01:33:36 PM,0.061,5.153,0.122,0.659
02/11/2021 01:34:36 PM,0.061,5.140,0.122,0.659
02/11/2021 01:35:36 PM,0.061,1.331,0.122,0.659
02/11/2021 01:36:36 PM,0.061,0.061,0.098,0.659
02/11/2021 01:37:36 PM,0.061,0.049,0.098,0.684
02/11/2021 01:38:36 PM,0.061,0.024,0.122,0.684
02/11/2021 01:39:36 PM,0.061,0.037,0.098,0.684
02/11/2021 01:40:36 PM,0.073,0.037,0.098,0.659
02/11/2021 01:41:36 PM,0.061,0.037,0.098,0.659
02/11/2021 01:42:36 PM,0.061,0.049,0.098,0.684
02/11/2021 01:43:36 PM,0.061,0.037,0.098,0.684
02/11/2021 01:44:36 PM,0.061,0.037,0.098,0.684
02/11/2021 01:45:36 PM,0.061,0.049,0.098,0.684
02/11/2021 01:46:36 PM,0.061,0.049,0.122,0.659
02/11/2021 01:47:36 PM,0.061,0.024,0.098,0.659
02/11/2021 01:48:36 PM,0.061,0.024,0.098,0.684
02/11/2021 01:49:36 PM,0.061,0.037,0.098,0.684
02/11/2021 01:50:36 PM,0.073,0.037,0.098,0.684
02/11/2021 01:51:36 PM,0.061,0.830,0.122,0.684
02/11/2021 01:52:36 PM,0.061,0.757,0.098,0.684
02/11/2021 01:53:36 PM,0.073,0.818,0.098,0.659
02/11/2021 01:54:36 PM,0.049,0.842,0.122,0.684
02/11/2021 01:55:36 PM,0.061,0.842,0.098,0.708
02/11/2021 01:56:36 PM,0.061,0.818,0.098,0.684
02/11/2021 01:57:36 PM,0.061,0.794,0.122,0.659
02/11/2021 01:58:36 PM,0.049,0.794,0.122,0.073
02/11/2021 01:59:36 PM,0.073,0.794,0.098,0.073
02/11/2021 02:00:36 PM,0.061,0.769,0.122,0.049
02/11/2021 02:01:36 PM,0.049,0.769,0.098,0.049
02/11/2021 02:02:36 PM,0.061,0.769,0.098,0.049
02/11/2021 02:03:36 PM,0.061,0.757,0.098,0.049
02/11/2021 02:04:36 PM,0.061,0.757,0.098,0.073
02/11/2021 02:05:36 PM,0.061,0.757,0.098,0.073
02/11/2021 02:06:36 PM,0.073,0.745,0.098,0.073
02/11/2021 02:07:36 PM,0.061,0.757,0.122,0.073
02/11/2021 02:08:36 PM,0.049,0.757,0.098,0.049
02/11/2021 02:09:36 PM,0.061,0.733,0.098,0.049
02/11/2021 02:10:36 PM,0.061,1.954,0.122,0.073
02/11/2021 02:11:36 PM,0.061,1.978,0.122,0.049
02/11/2021 02:12:36 PM,0.061,0.757,0.122,0.049
02/11/2021 02:13:36 PM,0.061,0.745,0.098,0.049
02/11/2021 02:14:36 PM,0.061,0.720,0.098,0.049
02/11/2021 02:15:36 PM,0.073,0.842,0.122,0.073
02/11/2021 02:16:36 PM,0.061,0.830,0.098,0.049
02/11/2021 02:17:36 PM,0.061,0.818,0.098,0.049
02/11/2021 02:18:36 PM,0.061,0.830,0.098,0.049
02/11/2021 02:19:36 PM,0.049,0.830,0.098,0.049
02/11/2021 02:20:36 PM,0.073,0.830,0.122,0.073
02/11/2021 02:21:36 PM,0.073,0.818,0.098,0.049
02/11/2021 02:22:36 PM,0.061,0.830,0.122,0.073
02/11/2021 02:23:36 PM,0.061,0.806,0.098,0.073
02/11/2021 02:24:36 PM,0.061,0.806,0.098,0.073
02/11/2021 02:25:36 PM,0.061,0.818,0.098,0.049
02/11/2021 02:26:36 PM,0.061,0.806,0.098,0.073
02/11/2021 02:27:36 PM,0.073,0.806,0.098,0.073
02/11/2021 02:28:36 PM,0.073,0.806,0.098,0.049
02/11/2021 02:29:36 PM,0.073,0.806,0.098,0.073
02/11/2021 02:30:36 PM,0.061,0.794,0.122,0.073
02/11/2021 02:31:36 PM,0.061,0.794,0.122,0.073
02/11/2021 02:32:36 PM,0.073,0.806,0.098,0.073
02/11/2021 02:33:36 PM,0.061,0.794,0.098,0.073
02/11/2021 02:34:36 PM,0.061,0.781,0.098,0.073
02/11/2021 02:35:36 PM,0.061,0.745,0.098,0.049
02/11/2021 02:36:36 PM,0.073,0.720,0.098,0.049
02/11/2021 02:37:36 PM,0.061,0.720,0.122,0.073
02/11/2021 02:38:36 PM,0.061,0.720,0.098,0.049
02/11/2021 02:39:36 PM,0.073,0.696,0.122,0.073
02/11/2021 02:40:36 PM,0.061,0.708,0.122,0.073
02/11/2021 02:41:36 PM,0.061,0.696,0.098,0.073
02/11/2021 02:42:36 PM,0.073,0.696,0.098,0.073
02/11/2021 02:43:36 PM,0.061,0.696,0.098,0.073
02/11/2021 02:44:36 PM,0.073,0.696,0.098,0.073
02/11/2021 02:45:36 PM,0.061,0.684,0.098,0.073
02/11/2021 02:46:36 PM,0.073,0.684,0.098,0.073
02/11/2021 02:47:36 PM,0.061,0.684,0.122,0.073
02/11/2021 02:48:36 PM,0.061,0.684,0.098,0.073
02/11/2021 02:49:36 PM,0.073,0.684,0.098,0.073
02/11/2021 02:50:36 PM,0.073,0.684,0.098,0.073
02/11/2021 02:51:36 PM,0.073,0.684,0.122,0.073
02/11/2021 02:52:36 PM,0.061,0.684,0.098,0.073
02/11/2021 02:53:36 PM,0.061,0.684,0.122,0.073
02/11/2021 02:54:36 PM,0.061,0.684,0.098,0.073
