#,time,well_pump,new_fridge,water_heater,old_fridge
1,02/11/2021 12:54:36 PM,0.037,0.501,0.147,0.684
2,02/11/2021 12:55:36 PM,0.037,0.501,0.122,0.684
3,02/11/2021 12:56:36 PM,0.037,0.501,0.147,0.684
4,02/11/2021 12:57:36 PM,0.073,0.501,0.098,0.684
5,02/11/2021 12:58:36 PM,0.049,0.501,0.122,0.684
6,02/11/2021 12:59:36 PM,0.061,0.501,0.098,0.684
7,02/11/2021 01:00:36 PM,0.061,0.501,0.098,0.684
8,02/11/2021 01:01:36 PM,0.061,0.549,0.098,0.684
9,02/11/2021 01:02:36 PM,0.049,0.476,0.122,0.684
10,02/11/2021 01:03:36 PM,0.049,0.513,0.122,0.684
11,02/11/2021 01:04:36 PM,0.061,0.476,0.122,0.684
12,02/11/2021 01:05:36 PM,0.049,0.513,0.122,0.684
13,02/11/2021 01:06:36 PM,0.049,0.513,0.098,0.684
14,02/11/2021 01:07:36 PM,0.049,0.549,0.122,0.684
15,02/11/2021 01:08:36 PM,0.049,0.488,0.098,0.684
16,02/11/2021 01:09:36 PM,0.049,0.525,0.122,0.684
17,02/11/2021 01:10:36 PM,0.061,0.525,0.122,0.684
18,02/11/2021 01:11:36 PM,0.049,0.525,0.122,0.684
19,02/11/2021 01:12:36 PM,0.061,0.525,0.098,0.684
20,02/11/2021 01:13:36 PM,0.061,5.287,0.122,0.684
21,02/11/2021 01:14:36 PM,0.061,5.177,0.122,0.684
22,02/11/2021 01:15:36 PM,0.061,5.165,0.122,0.684
23,02/11/2021 01:16:36 PM,0.061,5.165,0.122,0.659
24,02/11/2021 01:17:36 PM,0.061,5.177,0.122,0.684
25,02/11/2021 01:18:36 PM,0.061,5.165,0.122,0.684
26,02/11/2021 01:19:36 PM,0.061,5.153,0.122,0.684
27,02/11/2021 01:20:36 PM,0.061,5.140,0.147,0.684
28,02/11/2021 01:21:36 PM,0.061,5.116,0.122,0.684
29,02/11/2021 01:22:36 PM,0.061,5.128,0.122,0.684
30,02/11/2021 01:23:36 PM,0.049,5.165,0.122,0.684
31,02/11/2021 01:24:36 PM,0.049,5.226,0.122,0.684
32,02/11/2021 01:25:36 PM,0.061,5.128,0.122,0.684
33,02/11/2021 01:26:36 PM,0.049,5.153,0.122,0.684
34,02/11/2021 01:27:36 PM,0.061,5.165,0.122,0.659
35,02/11/2021 01:28:36 PM,0.061,5.153,0.122,0.684
36,02/11/2021 01:29:36 PM,0.061,5.153,0.122,0.684
37,02/11/2021 01:30:36 PM,0.061,5.140,0.122,0.684
38,02/11/2021 01:31:36 PM,0.049,5.092,0.122,0.684
39,02/11/2021 01:32:36 PM,0.061,5.153,0.122,0.684
40,02/11/2021 01:33:36 PM,0.061,5.153,0.122,0.659
41,02/11/2021 01:34:36 PM,0.061,5.140,0.122,0.659
42,02/11/2021 01:35:36 PM,0.061,1.331,0.122,0.659
43,02/11/2021 01:36:36 PM,0.061,0.061,0.098,0.659
44,02/11/2021 01:37:36 PM,0.061,0.049,0.098,0.684
45,02/11/2021 01:38:36 PM,0.061,0.024,0.122,0.684
46,02/11/2021 01:39:36 PM,0.061,0.037,0.098,0.684
47,02/11/2021 01:40:36 PM,0.073,0.037,0.098,0.659
48,02/11/2021 01:41:36 PM,0.061,0.037,0.098,0.659
49,02/11/2021 01:42:36 PM,0.061,0.049,0.098,0.684
50,02/11/2021 01:43:36 PM,0.061,0.037,0.098,0.684
51,02/11/2021 01:44:36 PM,0.061,0.037,0.098,0.684
52,02/11/2021 01:45:36 PM,0.061,0.049,0.098,0.684
53,02/11/2021 01:46:36 PM,0.061,0.049,0.122,0.659
54,02/11/2021 01:47:36 PM,0.061,0.024,0.098,0.659
55,02/11/2021 01:48:36 PM,0.061,0.024,0.098,0.684
56,02/11/2021 01:49:36 PM,0.061,0.037,0.098,0.684
57,02/11/2021 01:50:36 PM,0.073,0.037,0.098,0.684
58,02/11/2021 01:51:36 PM,0.061,0.830,0.122,0.684
59,02/11/2021 01:52:36 PM,0.061,0.757,0.098,0.684
60,02/11/2021 01:53:36 PM,0.073,0.818,0.098,0.659
61,02/11/2021 01:54:36 PM,0.049,0.842,0.122,0.684
62,02/11/2021 01:55:36 PM,0.061,0.842,0.098,0.708
63,02/11/2021 01:56:36 PM,0.061,0.818,0.098,0.684
64,02/11/2021 01:57:36 PM,0.061,0.794,0.122,0.659
65,02/11/2021 01:58:36 PM,0.049,0.794,0.122,0.073
66,02/11/2021 01:59:36 PM,0.073,0.794,0.098,0.073
67,02/11/2021 02:00:36 PM,0.061,0.769,0.122,0.049
68,02/11/2021 02:01:36 PM,0.049,0.769,0.098,0.049
69,02/11/2021 02:02:36 PM,0.061,0.769,0.098,0.049
70,02/11/2021 02:03:36 PM,0.061,0.757,0.098,0.049
71,02/11/2021 02:04:36 PM,0.061,0.757,0.098,0.073
72,02/11/2021 02:05:36 PM,0.061,0.757,0.098,0.073
73,02/11/2021 02:06:36 PM,0.073,0.745,0.098,0.073
74,02/11/2021 02:07:36 PM,0.061,0.757,0.122,0.073
75,02/11/2021 02:08:36 PM,0.049,0.757,0.098,0.049
76,02/11/2021 02:09:36 PM,0.061,0.733,0.098,0.049
77,02/11/2021 02:10:36 PM,0.061,1.954,0.122,0.073
78,02/11/2021 02:11:36 PM,0.061,1.978,0.122,0.049
79,02/11/2021 02:12:36 PM,0.061,0.757,0.122,0.049
80,02/11/2021 02:13:36 PM,0.061,0.745,0.098,0.049
81,02/11/2021 02:14:36 PM,0.061,0.720,0.098,0.049
82,02/11/2021 02:15:36 PM,0.073,0.842,0.122,0.073
83,02/11/2021 02:16:36 PM,0.061,0.830,0.098,0.049
84,02/11/2021 02:17:36 PM,0.061,0.818,0.098,0.049
85,02/11/2021 02:18:36 PM,0.061,0.830,0.098,0.049
86,02/11/2021 02:19:36 PM,0.049,0.830,0.098,0.049
87,02/11/2021 02:20:36 PM,0.073,0.830,0.122,0.073
88,02/11/2021 02:21:36 PM,0.073,0.818,0.098,0.049
89,02/11/2021 02:22:36 PM,0.061,0.830,0.122,0.073
90,02/11/2021 02:23:36 PM,0.061,0.806,0.098,0.073
91,02/11/2021 02:24:36 PM,0.061,0.806,0.098,0.073
92,02/11/2021 02:25:36 PM,0.061,0.818,0.098,0.049
93,02/11/2021 02:26:36 PM,0.061,0.806,0.098,0.073
94,02/11/2021 02:27:36 PM,0.073,0.806,0.098,0.073
95,02/11/2021 02:28:36 PM,0.073,0.806,0.098,0.049
96,02/11/2021 02:29:36 PM,0.073,0.806,0.098,0.073
97,02/11/2021 02:30:36 PM,0.061,0.794,0.122,0.073
98,02/11/2021 02:31:36 PM,0.061,0.794,0.122,0.073
99,02/11/2021 02:32:36 PM,0.073,0.806,0.098,0.073
100,02/11/2021 02:33:36 PM,0.061,0.794,0.098,0.073
101,02/11/2021 02:34:36 PM,0.061,0.781,0.098,0.073
102,02/11/2021 02:35:36 PM,0.061,0.745,0.098,0.049
103,02/11/2021 02:36:36 PM,0.073,0.720,0.098,0.049
104,02/11/2021 02:37:36 PM,0.061,0.720,0.122,0.073
105,02/11/2021 02:38:36 PM,0.061,0.720,0.098,0.049
106,02/11/2021 02:39:36 PM,0.073,0.696,0.122,0.073
