#,time,water_pump,End Of File (LGR S/N: 1191118)
1,03/08/2021 09:25:35 AM,0.781,
2,03/08/2021 09:25:36 AM,0.745,
3,03/08/2021 09:25:37 AM,0.794,
4,03/08/2021 09:25:38 AM,0.794,
5,03/08/2021 09:25:39 AM,0.879,
6,03/08/2021 09:25:40 AM,0.879,
7,03/08/2021 09:25:41 AM,0.904,
8,03/08/2021 09:25:42 AM,0.879,
9,03/08/2021 09:25:43 AM,0.879,
10,03/08/2021 09:25:44 AM,0.977,
11,03/08/2021 09:25:45 AM,0.940,
12,03/08/2021 09:25:46 AM,0.989,
13,03/08/2021 09:25:47 AM,0.977,
14,03/08/2021 09:25:48 AM,0.989,
15,03/08/2021 09:25:49 AM,0.952,
16,03/08/2021 09:25:50 AM,0.977,
17,03/08/2021 09:25:51 AM,0.989,
18,03/08/2021 09:25:52 AM,1.013,
19,03/08/2021 09:25:53 AM,1.001,
20,03/08/2021 09:25:54 AM,1.087,
21,03/08/2021 09:25:55 AM,1.111,
22,03/08/2021 09:25:56 AM,1.160,
23,03/08/2021 09:25:57 AM,1.123,
24,03/08/2021 09:25:58 AM,1.160,
25,03/08/2021 09:25:59 AM,1.245,
26,03/08/2021 09:26:00 AM,1.270,
27,03/08/2021 09:26:01 AM,1.221,
28,03/08/2021 09:26:02 AM,1.270,
29,03/08/2021 09:26:03 AM,1.270,
30,03/08/2021 09:26:04 AM,1.209,
31,03/08/2021 09:26:05 AM,1.160,
32,03/08/2021 09:26:06 AM,1.270,
33,03/08/2021 09:26:07 AM,1.282,
34,03/08/2021 09:26:08 AM,1.294,
35,03/08/2021 09:26:09 AM,1.343,
36,03/08/2021 09:26:10 AM,1.392,
37,03/08/2021 09:26:11 AM,1.355,
38,03/08/2021 09:26:12 AM,1.380,
39,03/08/2021 09:26:13 AM,1.368,
40,03/08/2021 09:26:14 AM,1.355,
41,03/08/2021 09:26:15 AM,1.429,
42,03/08/2021 09:26:16 AM,1.355,
43,03/08/2021 09:26:17 AM,1.148,
44,03/08/2021 09:26:18 AM,0.928,
45,03/08/2021 09:26:19 AM,0.891,
46,03/08/2021 09:26:20 AM,0.879,
47,03/08/2021 09:26:21 AM,0.879,
48,03/08/2021 09:26:22 AM,0.855,
49,03/08/2021 09:26:23 AM,0.891,
50,03/08/2021 09:26:24 AM,0.830,
